Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
51.27,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
52.28,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
53.28,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,204.33,0.00,0,0,0,0
54.29,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
55.29,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
56.30,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.14,0.00,0,0,0,0
57.30,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,204.33,0.00,0,0,0,0
58.31,175.29,0.00,48.82,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
59.31,175.29,0.00,48.82,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
60.32,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,204.33,0.00,0,0,0,0
61.33,175.29,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.14,0.00,0,0,0,0
62.33,175.29,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
63.34,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
64.34,174.32,0.00,48.47,0.00,179.20,0.00,179.64,0.00,0.00,0.00,204.33,0.00,0,0,0,0
65.35,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
66.35,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
67.36,174.80,0.00,48.64,0.00,179.69,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
68.36,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,204.33,0.00,0,0,0,0
69.37,175.29,0.00,49.00,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.14,0.00,0,0,0,0
70.37,175.29,0.00,49.00,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
71.38,175.78,0.00,48.82,0.00,179.69,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
72.38,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
73.39,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
74.39,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
75.40,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
76.40,176.27,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
77.41,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,208.40,0.00,0,0,0,0
